"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"popularity",-0.273700112441015,0.448238693082971,-0.835654800330395,-0.0275619040237591,0.134510337114495,0.0032292590548008,-0.00848851881292,0.0808195439319164,-0.0178417857819827,-0.00812876047194383
"danceability",-0.291389607368361,0.199829405653585,0.0457927257003965,0.289798209383815,-0.481970089807737,-0.234806140314128,0.107407066139128,-0.68909662764242,0.0884824023301758,-0.0862070928597187
"energy",-0.433180676442168,-0.293229997550615,0.0459946821006254,0.0284962797325693,0.567833225220331,0.344935688179619,0.286020919613669,-0.323165645133729,-0.036485307934752,-0.307331648814314
"loudness",-0.173068838568734,-0.0252151056427356,0.0391583228277258,-0.0356225881465283,0.154274848067567,0.113069643586217,0.0940405765759781,-0.1688873378471,0.195043618992212,0.924453883785757
"speechiness",-0.0251465210892702,-0.0128635801702357,0.00913179234385466,0.0244048537310594,0.0133832963748188,-0.0535279998580424,-0.0908644180640633,-0.135120115482819,-0.966198269673804,0.18821782719961
"acousticness",0.607722202681804,0.546239868619529,0.114584351778642,0.210560773730975,0.352787928423331,0.21178670716149,0.125586652767852,-0.298847805471952,0.00241084703340647,-0.0207257098212125
"instrumentalness",0.351696849900632,-0.557074633893222,-0.445717250262962,0.594942572507418,-0.0174652487323013,-0.00317752336563565,0.00474913854208678,-0.0804413703184144,0.0341098233822847,0.0733802853919053
"liveness",-0.00199100725501675,-0.0306666167415148,0.0546897683837948,0.0103485296988345,0.509261617782578,-0.842773653775544,-0.12022264403283,-0.0776034967003439,0.0765318810416936,-0.00312876590450194
"valence",-0.355160269425946,0.248851103052775,0.284717886489418,0.716772239536547,0.0911462103341764,0.0479368176044928,-0.112720424195358,0.438732048876674,-0.019478473295141,0.0305107762753549
"tempo",-0.0528199334259297,-0.0280664083701354,0.00176629292155188,-0.0204620673670845,0.103817167889026,0.229773698107514,-0.920070534460747,-0.270386183258061,0.10739839784832,-0.0354071508572451
